"id","shipweight","price","modelno","title","brand","dimensions"
"99","1.1","27.54","8691","Avery CD Labels - 100 Disc labels 200 Spine labels 8691","Avery","11.2 x 8.8 x 0.5 inches"
"101","3.2","23.93","HA0435-M005","AGF HA0435-M005 Case for BlackBerry Torch 9800 and 9810 Endo GRT - 1 Pack - Retail Packaging - Black","AGF","7.4 x 4.2 x 2.4 inches"
"172","1","12.99","MDR-EX35LP/VB","Sony MDR-EX35LP VB EX Style Headphones with Deep Bass Sound Violet Blue","Sony","7.2 x 2.0 x 1.2 inches"
"185","4",,"TS-A1674R","Pioneer TS-A1674R A-Series 6 1 2 3-Way 300 Watts","Pioneer","14.4 x 7.4 x 3.7 inches"
"235","14.1","663.42",,"New-C9202KH Toner 14000 Page Yield Black Case Pack 1 - 516736","Lexmark",
"245","3.6","50.53",,"New-Wrist Pillow Foam Keyboard Platform Wrist Rest Case Pack 1 - 516275","Kensington",
"255","1.8","29.42",,"New-TOPS 35500 - Engineering Computation Pad Quad Rule Letter Green 100 Sheets Pad - TOP35500","Tops",
"326","23.6","768.79",,"New-101R00421 Transfer Unit Case Pack 1 - 518345","Xerox",
"352","4","64.26","2370","Brenthaven 17-Inch ProLite III Shoulder Case for Notebooks","Brenthaven","19.0 x 14.0 x 5.0 inches"
"356","1","22.99","TC20","Brother 2-pack Tc-20 1 2in Black On White Labeling Tape for Pt-6 8 10 12 15 20 150 170","Brother","9.4 x 7.4 x 0.6 inches"
"376","1","8.79","F8V3311B10","BELKIN F8V3311b10 HDMI to HDMI Cable 10 Feet","Belkin","10.2 x 8.5 x 1.0 inches"
"400","4.8","5.22","2160","Avery Mini-Sheets Laser Ink Jet Labels 1 x 2.625 Inches White 200 per Pack 2160","Avery","10.9 x 4.7 x 0.3 inches"
"430","3","109.99","F1A75-M Pro","ASUS F1A75-M Pro -F1 Socket - A75 - SATA 6Gbps and USB 3.0 - mATX AMD Hudson D3 Micro ATX DDR3 1800 AMD - FM1 Motherboards","Asus","11.7 x 11.3 x 2.2 inches"
"453","10","68.78","240145","Aleratec DVD CD Shredder XC 240145 Black","Aleratec","20.6 x 13.4 x 9.5 inches"
"481","1","21.7","TX2411","3 4inch Black On White Pt-30 35 8000 Pc","Brother","5.5 x 4.0 x 1.5 inches"
"485","5.6","19.99","iPad 9.7""","3M Natural View Screen Protector for iPad 9.7","3M","9.3 x 7.2 inches"
"537","16","141.39","CP1000PFCLCD","CyberPower CP1000PFCLCD UPS 1000VA 600W PFC Compatible Pure Sine Wave","CyberPower","10.4 x 9.1 x 3.9 inches"
"543","3","79.99","51MF8090AA004","Creative D100 Wireless Bluetooth Speakers - Green 51MF8090AA004","Creative Labs","15.6 x 5.3 x 5.1 inches"
"559","2","25.15","RR-VTPS-28PK-R1","Cooler Master Vortex Plus CPU Cooler RR-VTPS-28PK-R1","Cooler Master","4.6 x 3.9 x 3.3 inches"
"577","1","11.99","D1T-00011","Comfort Opt MSE3000 Silver blu","Microsoft","9.2 x 8.0 x 2.0 inches"
"594","20","91.11","LOC200","Clover Electronics LOC200 VCR DVR Lock Box with Fan - Medium Black","Clover","20.0 x 18.0 x 7.0 inches"
"638","37","186.95","MF4570dn","Canon ImageCLASS MF4570dn Laser Multifunction Printer 4509B020AA","Canon","16.6 x 15.4 x 14.6 inches"
"656","1","4.86","USB-5010-05M","Cables Unlimited USB-5010-05M 15-Foot USB 2.0 Clear A to B Cable","Cables Unlimited","12.0 x 5.0 x 1.0 inches"
"715","2","35.27","K301","Motorola DECT 6.0 Cordless Big Button Phone K301","Motorola","7.2 x 4.3 x 4.3 inches"
"780","2","160.99","BR-PX68U2/BK","Buffalo Technology MediaStation 6X Portable Blu-Ray Writer BR-PX68U2 BK Black","Buffalo Technology","8.7 x 7.3 x 3.6 inches"
"790","1","141.99","985-000172","Logitech Ultimate Ears 700 Noise-Isolating Earphones - Dark Silver","Ultimate Ears","6.1 x 4.0 x 1.7 inches"
"828","27","143.68","90T9105","Lexmark Pinnacle Pro901 All-in-One Printer","Lexmark","18.3 x 15.4 x 9.9 inches"
"843","1","16.99","OAN-0501","Levelone Indoor Antenna 5DBI Omni-directional","CP Technology",
"884","1","28.34","M25664F50","Kingston 2 GB DDR2 SDRAM Memory Module 2 GB 1 x 2 GB 667MHz NonECC DDR2 SDRAM 200pin M25664F50","Kingston","6.4 x 3.4 x 0.5 inches"
"888","1","13.99","KVR667D2S5/1G","Kingston KVR667D2S5 1G 1GB SO DIMM 200-Pin DDR II ValueRAM Memory","Kingston",
"912","1","19.55","K72343US","Kensington Pro Fit USB PS2 Full Size Wired Mouse Black","Kensington","7.1 x 4.1 x 2.4 inches"
"965","1","29.99","GBHFK331","IOGEAR Solar Bluetooth Caller Announce Hands Free Car Kit GBHFK331 Gray","Iogear","7.5 x 6.0 x 1.8 inches"
"979","1","20.28","IP-904","Incipio SILICRYLIC for iPod Touch 4G Black Black","Incipio","4.6 x 2.5 x 0.2 inches"
"994","1","20.09","iCC816BLK","iLuv iCC816 Portfolio Case with Stand for 2nd Generation Apple iPad 2 WiFi 3G Model 16GB 32GB 64GB NEWEST Model Black","iLuv","10.0 x 8.0 x 1.5 inches"
"1082","1","23.58","CE-MT0E12-S1","Headrest Ipad Car Mnt Turns Into Rear Seat Entertainment Sys","SIIG",
"1090","1","7.53","GB01959","Griffin Technology FormFit for iPod touch 4G Pink Clear","Griffin Technology","6.9 x 4.1 x 1.0 inches"
"1096","1","11.17","GB01913","Griffin GB01913 Screen Care Kit for iPod Touch 4G 3 Pack","Griffin Technology","6.9 x 4.1 x 0.1 inches"
"1120","2","14.17","CF3000U","Gear Head CF3000U Dual-Cool USB Laptop Cooling Fan Silver","Gear Head","17.0 x 11.0 x 3.0 inches"
"1156","3","183.52","01G-P3-1373-AR","EVGA GeForce GTX460 Superclocked 1024 MB DDR5 PCI-Express Graphics Card with Limited Lifetime Warranty 01G-P3-1373-AR","EVGA","11.8 x 9.5 x 2.9 inches"
"1240","1","117.2","DHP-347AV","D-Link Systems PowerLine AV 4-Port Switch Starter Kit DHP-347AV","D-Link","5.8 x 4.5 x 1.5 inches"
"1244","1.4","33.68","GS108B","ZyXEL GS108B 8 Port Gigabit Ethernet Switch with Metal Housing Green Energy Saving Technology","ZyXEL","9.0 x 6.0 x 2.0 inches"
"1249","15.2","36.99","9006","Zoom ZDTV Wireless Keyboard 9006 - Keyboard - wireless - 2.4 GHz - 78 keys - touchpad - USB wireless receiver - QWERTY","Zoom Telephonics",
"1253","3","147.02","XPMP3H1","XM XPMP3H1 Portable Satellite Radio and MP3 Player XMp3i","Sirius Satellite Radio","19.3 x 13.0 x 7.8 inches"
"1270","3.4","33.4","1670","X-Acto School Pro Heavy-Duty Electric Sharpener 1670","X-Acto","8.5 x 8.0 x 5.7 inches"
"1274","1","6.77","3FMSD4GB-R","Wintec Filemate 4 GB Class 4 Secure Digital SDHC Card","Wintec","5.2 x 4.1 x 0.6 inches"
"1303","2",,"RW120-WU","Visioneer RoadWarrior Mobile 600 DPI USB Scanner RW120-WU","Visioneer","12.0 x 9.0 x 3.0 inches"
"1324","1","71.99","97335","Verbatim 97335 50 GB 6x Blu-ray Double Layer Recordable Disc BD-R DL 10-Disc Spindle","Verbatim","6.8 x 5.9 x 1.6 inches"
"1375","1","11.11","TU-S9","TRENDnet USB to Serial Converter TU-S9 Blue","TRENDnet","9.0 x 6.8 x 2.0 inches"
"1392","1","37.6","TL-PS110P","TP-Link AC TL-PS110P Single Parall","TP-Link","9.0 x 7.0 x 3.0 inches"
"1397","1","4.99","9N00.181","TomTom ONE Carrying Case","TomTom","8.5 x 3.3 x 3.3 inches"
"1427","2","20.28","TCM004US","Targus Basic Messenger Case Designed for 15.6 Inch Laptops TCM004US Black","Targus","15.9 x 11.7 x 3.7 inches"
"1441","1","24","318-1000","SWITCH by Design Studio Fire Red 17-Inch","Dell","16.5 x 11.3 x 1.0 inches"
"1450","22","133.84",,"B-121C Paper Shredder","Fellowes",
