"idAmazon","idWalmart"
"10706","1190"
"8496","1340"
"20844","1512"
"11288","1183"
"691","151"
"18620","1070"
"10436","231"
"11269","1356"
"21457","2097"
"16783","2252"
"15252","938"
"15351","2368"
"3668","66"
"9383","540"
"20174","336"
"5175","2540"
"12760","2276"
"8358","2107"
"8910","916"
"21434","2295"
"17519","615"
"6508","797"
"1928","186"
"6828","201"
"11542","539"
"14545","2156"
"8544","2327"
"6862","1163"
"18464","431"
"12891","2028"
"9548","2315"
"18999","1535"
"20251","681"
"5883","558"
"1696","2237"
"7079","667"
"4362","2501"
"19042","1510"
"13251","2394"
"7853","1102"
"2927","1877"
"15033","1287"
"3155","1973"
"4854","176"
"18512","1714"
"13767","2092"
"2805","941"
"3694","2164"
"1315","1946"
"18679","2033"
"17488","1850"
"14539","2083"
"345","2254"
"12442","1368"
"713","399"
"13540","1577"
"13413","1011"
"14868","426"
"17383","1136"
"4380","1268"
"10108","2334"
"7028","1014"
"7705","315"
"19880","193"
"15415","765"
"10787","2400"
"1152","172"
"2759","1189"
"4506","1316"
"13348","1851"
"10530","750"
"16298","1248"
"16058","1621"
"2465","1242"
"6974","1237"
"14755","2229"
"7660","1895"
"6194","1666"
"7902","1448"
"6972","719"
"4379","997"
"19540","617"
"8070","1224"
"2284","1960"
"556","599"
