"id","shipweight","price","modelno","title","brand","dimensions"
"3",,"99.82","DCS-1100","D-Link DCS-1100 Network Camera","D-Link",
"6","9.78","49.88","C6020B","HP C6020B Coated Paper 1 roll 36-inches x 150 ft","HP","33.98 x 3.83 x 3.83 inches"
"7","1.85","199.98","RW120-WU","Visioneer RW120-WU RoadWarrior Sheetfed Scanner","Visioneer","11.4 x 2.0 x 1.5 inches"
"9","0.95","17.88","MW310LE","3M MW310LE Gel Mouse Pad","3M","9.63 x 7.65 x 0.36 inches"
"20","0.837","3.88","6622","Mead Spiral Bound Notebook College Rule","Mead",
"25","1.8","69.84","HP CE278A","HP CE278A Black LaserJet Print Cartridge","HP","1.0 x 1.0 x 1.0 inches"
"26","19.15","151","CP1000PFCLCD","Cyber Power PFC 1000VA LCD Sinewave Adaptive Intelligent UPS","CyberPower","13.5 x 11.2 x 6.3 inches"
"29","5","49.71","NST-400MX-S2","Vantec NexStar MX Dual 3.5  SATA Hard Drive Enclosure","Vantec","10.0 x 7.0 x 6.0 inches"
"30","0.15","20.28","Mini Film 2pk","Fujifilm Instax Mini Twin Pack Film","Fuji","3.0 x 2.0 x 1.77 inches"
"33",,"0","72-IN-1-CR","Sunpak 72-In-One Card Reader with SIM Slot","Sunpak","6.75 x 4.75 x 0.75 inches"
"39","2.9","99.98","34508","Iomega 34508 DVR Expander Hard Drive","Iomega","7.82 x 4.75 x 1.22 inches"
"41","0.05","22.92","KTD-DM8400A/1G","Kingston KTD-DM8400A 1G 1GB DDR2 SDRAM Memory Module","Kingston","4.77 x 1.71 x 0.45 inches"
"42","0.05","13.54","MDREX35LP/VB","Sony MDREX35LP VB Colorful Headphone with Case - Violet Blue","Sony","7.25 x 2.0 x 1.25 inches"
"49","0.85","35","TSS28802US","Targus Impax Sleeve for 15  MacBook Pro Red","Targus","14.7 x 10.2 x 1.6 inches"
"53","237","2608.99","27528","Da-Lite Da-Plex Base Rear Projection Screen - 57 3 4 x 77 Video Format","Da-Lite",
"54","8.5","479.98","DR-2010C","Canon imageFORMULA DR-2010C Compact Color Scanner","Canon","15.0 x 11.5 x 10.25 inches"
"57","1.5","10.74","MRK-515ST","Vantec NexStar SE 2.5  SATA Hard Drive Rack","Vantec","7.0 x 6.0 x 2.0 inches"
"58","0.6","150","SH350IP","Sennheiser SH 350 IP Binaural Headset with Noise Canceling Microphone","Sennheiser","7.0 x 6.4 x 2.4 inches"
"64",,"24.99","FVA4005","Los Angeles Lakers iPhone 3G Duo Case","Tribeca",
"78","2.24","39.99","147735","Case Logic 18  Laptop Case","Case Logic","19.3 x 14.2 x 3.9 inches"
"80","11.754","59.94","VZ01270","Vaultz Lock Mobile File Chest Storage Box Letter Legal Black","Vaultz",
"81","2.01","11.7","99650","Innovera Heavyweight Photo Paper Matte 8-1 2 x 11 50 Sheets Pack","INNOVERA",
"85","1","14.88","MSMT2G/TQ","Sony 2GB MS Pro Duo Mark2","Sony","6.1 x 4.9 x 0.4 inches"
"90","0.05","44.88","DACF3008GC","Dane-Elec 8GB High-Speed Compact Flash Memory Card","DANE-ELEC","6.6 x 5.0 x 0.15 inches"
"91","10","132.99","93605","Da-Lite Deluxe Anti-Sway Brace For Fast Fold Deluxe Screens","Da-Lite",
"93","2.4","42.64","SCDK1","Audiovox Sirius CATV Distribution Kit","Audiovox","12.5 x 5.75 x 2.75 inches"
"94","0.19","17.2","VER97255","Verbatim Smartdisk Optical Mini Travel Mouse Red","Verbatim","8.5 x 4.94 x 1.5 inches"
"95","5.75","258.84","HP CE505XD","HP CE505XD Black LaserJet Print Cartridges 2pk","HP","1.0 x 1.0 x 1.0 inches"
"97","0.26","45","LAC130992","LaCie FireWire 800 ExpressCard 34","LaCie","8.2 x 6.8 x 1.1 inches"
"99","1","156.54","5035B001AA","Canon PowerShot A3300 IS Black 16.0MP Digital Camera with 5x Optical Zoom 3.0  LCD 720p Video w 50 Bonus Prints","Canon","3.7 x 2.2 x 0.9 inches"
"101","4","79.99","DCB-309BLACK","Case Logic SLR Camera Backpack","Case Logic","17.3 x 11.4 x 8.4 inches"
"102","2","40.88","KX-TGA660B","Panasonic KX-TGA660B DECT 6.0 Plus Digital Cordless Handset Black","Panasonic","6.9 x 1.9 x 1.3 inches"
"104","16.36","33.54","ECSB","OmniMount Component Shelf - Black","OmniMount","20.1 x 18.0 x 9.1 inches"
"107","1.75","37.88","CVR617","Targus 17  Groove Backpack for Laptops Black","Targus","19.3 x 14.8 x 1.9 inches"
"114","1.2188","56.88","XVCD100","Xantech 100W Decora-Style Impedance Matching Volume Control","Xantech","4.75 x 3.75 x 2.5 inches"
"126","2.5","55.13","SCHDOC1","Audiovox Sirius Connect Home Dock for SP ST SV 3-5","Audiovox","7.3 x 5.1 x 4.1 inches"
"130","0.1","17.54","K39304US","Kensington Virtuoso iPad Stylus and Pen","Kensington","5.4 x 1.9 x 1.1 inches"
"131","1.5","24.88","NT-WGHU","Sabrent USB 2.0 Wireless 802.11g Adapter","Sabrent","10.0 x 8.0 x 2.8 inches"
"133","0.1","10.88","24751","Encore Marooned PC","Encore","6.0 x 5.0 x 0.5 inches"
"134","1.85","236.32","Panasonic SDR-S70-S","Panasonic SDR-S70S Silver SD Camcorder w 70x Optical Zoom 2.7  LCD Display","Panasonic","4.22 x 2.51 x 2.16 inches"
"136","9.25","1199.99","XJA235U","Casio XJ-A235U Green Slim DLP Projector","Casio","15.1 x 10.8 x 6.7 inches"
"137","6.5","338","APOLLO-45","Night Owl Optics APOLLO-45 4-Channel H.264 500GB DVR Kit","Night Owl","11.6 x 8.5 x 1.8 inches"
